Alpaca successfully connected
Loaded preprocessed data with shape (23968830, 16)
Getting Numpy arrays from data!

| `step`: Number of samples, or total training steps, or running times of `env.step()`.
| `time`: Time spent from the start of training to this moment.
| `avgR`: Average value of cumulative rewards, which is the sum of rewards in an episode.
| `stdR`: Standard dev of cumulative rewards, which is the sum of rewards in an episode.
| `avgS`: Average of steps in an episode.
| `objC`: Objective of Critic network. Or call it loss function of critic network.
| `objA`: Objective of Actor network. It is the average Q value of the critic network.
|     step      time  |     avgR    stdR    avgS  |     objC      objA
| 5.29e+07    113650  |    -1.32    0.00   12345  |     0.11      0.34
| 5.29e+07    113693  |    -1.34    0.00   12345  |     0.15      0.34
| 5.29e+07    113735  |    -1.48    0.00   12345  |     0.24      0.37
| 5.29e+07    113777  |    -1.60    0.00   12345  |     0.15      0.31
| 5.29e+07    113821  |    -1.58    0.00   12345  |     0.13      0.32
| 5.30e+07    113863  |    -1.52    0.00   12345  |     0.12      0.38
| 5.30e+07    113906  |    -1.12    0.00   12345  |     0.08      0.34
| 5.30e+07    113950  |    -1.57    0.00   12345  |     0.00      0.41
| 5.30e+07    113993  |    -1.11    0.00   12345  |     0.00      0.42
| 5.30e+07    114036  |    -1.54    0.00   12345  |     0.00      0.40
| 5.31e+07    114079  |    -1.52    0.00   12345  |     0.00      0.39
| 5.31e+07    114121  |    -1.66    0.00   12345  |     0.00      0.40
| 5.31e+07    114163  |    -1.52    0.00   12345  |     0.00      0.40
| 5.31e+07    114205  |    -1.53    0.00   12345  |     0.00      0.40
| 5.31e+07    114247  |    -1.61    0.00   12345  |     0.00      0.40
| 5.32e+07    114290  |    -1.43    0.00   12345  |     1.08      0.39
| 5.32e+07    114332  |    -1.65    0.00   12345  |     0.27      0.34
| 5.32e+07    114374  |    -1.41    0.00   12345  |     0.52      0.39
| 5.32e+07    114416  |    -1.35    0.00   12345  |     0.39      0.39
| 5.32e+07    114457  |    -1.47    0.00   12345  |     1.51      0.34
| 5.33e+07    114500  |    -1.37    0.00   12345  |     0.97      0.41
| 5.33e+07    114543  |    -1.43    0.00   12345  |     0.58      0.38
| 5.33e+07    114587  |    -1.37    0.00   12345  |     0.34      0.37
| 5.33e+07    114630  |    -1.46    0.00   12345  |     0.35      0.39
| 5.33e+07    114673  |    -1.48    0.00   12345  |     0.66      0.35
| 5.34e+07    114715  |    -1.61    0.00   12345  |     0.62      0.41
| 5.34e+07    114758  |    -1.17    0.00   12345  |     0.29      0.38
| 5.34e+07    114801  |    -1.18    0.00   12345  |     0.36      0.38
| 5.34e+07    114845  |    -1.49    0.00   12345  |     0.39      0.33
| 5.34e+07    114887  |    -1.37    0.00   12345  |     0.97      0.33
| 5.35e+07    114929  |    -1.51    0.00   12345  |     0.86      0.36
| 5.35e+07    114971  |    -1.41    0.00   12345  |     0.37      0.39
| 5.35e+07    115014  |    -1.62    0.00   12345  |     0.62      0.36
| 5.35e+07    115057  |    -1.79    0.00   12345  |     0.65      0.33
| 5.35e+07    115100  |    -1.20    0.00   12345  |     0.00      0.32
| 5.36e+07    115143  |    -1.15    0.00   12345  |     0.00      0.32
| 5.36e+07    115184  |    -1.19    0.00   12345  |     0.00      0.40
| 5.36e+07    115227  |    -1.19    0.00   12345  |     0.00      0.39
| 5.36e+07    115269  |    -1.08    0.00   12345  |     0.00      0.40
| 5.36e+07    115311  |    -1.13    0.00   12345  |     0.61      0.42
| 5.37e+07    115354  |    -1.10    0.00   12345  |     0.13      0.32
| 5.37e+07    115397  |    -1.13    0.00   12345  |     0.16      0.37
| 5.37e+07    115440  |    -1.09    0.00   12345  |     0.24      0.38
| 5.37e+07    115482  |    -1.13    0.00   12345  |     0.17      0.31
| 5.37e+07    115526  |    -1.12    0.00   12345  |     0.28      0.42
| 5.38e+07    115569  |    -1.09    0.00   12345  |     0.08      0.32
| 5.38e+07    115611  |    -1.18    0.00   12345  |     0.09      0.37
| 5.38e+07    115654  |    -1.14    0.00   12345  |     0.00      0.41
| 5.38e+07    115697  |    -1.08    0.00   12345  |     0.00      0.41
| 5.38e+07    115739  |    -1.29    0.00   12345  |     0.00      0.40
| 5.39e+07    115782  |    -1.11    0.00   12345  |     0.00      0.40
| 5.39e+07    115824  |    -1.11    0.00   12345  |     0.00      0.40
| 5.39e+07    115869  |    -1.17    0.00   12345  |     0.00      0.41
| 5.39e+07    115912  |    -1.17    0.00   12345  |     0.00      0.40
| 5.39e+07    115955  |    -1.15    0.00   12345  |     0.00      0.40
| 5.40e+07    115998  |    -1.19    0.00   12345  |     1.42      0.44
| 5.40e+07    116041  |    -1.14    0.00   12345  |     0.45      0.35
| 5.40e+07    116084  |    -1.20    0.00   12345  |     0.77      0.39
| 5.40e+07    116126  |    -1.17    0.00   12345  |     0.35      0.37
| 5.40e+07    116168  |    -1.09    0.00   12345  |     2.02      0.36
| 5.41e+07    116211  |    -1.18    0.00   12345  |     0.67      0.38
| 5.41e+07    116253  |    -1.12    0.00   12345  |     0.53      0.38
| 5.41e+07    116295  |    -1.14    0.00   12345  |     0.40      0.36
| 5.41e+07    116338  |    -1.11    0.00   12345  |     0.32      0.34
| 5.41e+07    116381  |    -1.18    0.00   12345  |     0.40      0.33
| 5.42e+07    116424  |    -1.14    0.00   12345  |     0.33      0.41
| 5.42e+07    116467  |    -1.15    0.00   12345  |     0.17      0.32
| 5.42e+07    116510  |    -1.20    0.00   12345  |     0.34      0.38
| 5.42e+07    116552  |    -1.13    0.00   12345  |     0.73      0.34
| 5.42e+07    116594  |    -1.14    0.00   12345  |     0.81      0.33
| 5.43e+07    116636  |    -1.10    0.00   12345  |     0.60      0.35
| 5.43e+07    116678  |    -1.24    0.00   12345  |     0.42      0.35
| 5.43e+07    116721  |    -1.15    0.00   12345  |     0.65      0.37
| 5.43e+07    116763  |    -1.26    0.00   12345  |     0.56      0.33
| 5.43e+07    116806  |    -1.10    0.00   12345  |     0.00      0.31
| 5.44e+07    116850  |    -1.14    0.00   12345  |     0.00      0.34
| 5.44e+07    116892  |    -1.12    0.00   12345  |     0.00      0.39
| 5.44e+07    116934  |    -1.16    0.00   12345  |     0.00      0.38
| 5.44e+07    116977  |    -1.16    0.00   12345  |     0.12      0.37
| 5.44e+07    117020  |    -1.22    0.00   12345  |     0.53      0.43
| 5.45e+07    117063  |    -1.23    0.00   12345  |     0.20      0.38
| 5.45e+07    117105  |    -1.09    0.00   12345  |     0.12      0.39
| 5.45e+07    117149  |    -1.21    0.00   12345  |     0.19      0.36
| 5.45e+07    117191  |    -1.10    0.00   12345  |     0.17      0.32
| 5.45e+07    117234  |    -1.08    0.00   12345  |     0.28      0.42
| 5.46e+07    117277  |    -1.13    0.00   12345  |     0.07      0.34
| 5.46e+07    117320  |    -1.16    0.00   12345  |     0.09      0.36
| 5.46e+07    117363  |    -1.21    0.00   12345  |     0.00      0.40
| 5.46e+07    117406  |    -1.17    0.00   12345  |     0.00      0.40
| 5.46e+07    117449  |    -1.31    0.00   12345  |     0.00      0.41
| 5.47e+07    117492  |    -1.14    0.00   12345  |     0.00      0.40
| 5.47e+07    117534  |    -1.13    0.00   12345  |     0.00      0.39
| 5.47e+07    117577  |    -1.31    0.00   12345  |     0.00      0.40
| 5.47e+07    117621  |    -1.19    0.00   12345  |     0.00      0.41
| 5.47e+07    117663  |    -1.16    0.00   12345  |     0.00      0.40
| 5.48e+07    117705  |    -1.08    0.00   12345  |     0.93      0.45
| 5.48e+07    117748  |    -1.14    0.00   12345  |     1.22      0.40
| 5.48e+07    117791  |    -1.09    0.00   12345  |     0.51      0.39
| 5.48e+07    117833  |    -1.16    0.00   12345  |     0.22      0.34
| 5.48e+07    117876  |    -1.25    0.00   12345  |     3.41      0.36
| 5.49e+07    117918  |    -1.13    0.00   12345  |     0.50      0.35
| 5.49e+07    117960  |    -1.17    0.00   12345  |     0.36      0.36
| 5.49e+07    118003  |    -1.17    0.00   12345  |     0.34      0.35
| 5.49e+07    118045  |    -1.27    0.00   12345  |     0.38      0.34
| 5.49e+07    118088  |    -1.19    0.00   12345  |     0.48      0.36
| 5.50e+07    118132  |    -1.20    0.00   12345  |     0.20      0.36
| 5.50e+07    118176  |    -1.27    0.00   12345  |     0.18      0.33
| 5.50e+07    118220  |    -1.13    0.00   12345  |     0.47      0.39
| 5.50e+07    118263  |    -1.11    0.00   12345  |     0.81      0.32
| 5.50e+07    118307  |    -1.09    0.00   12345  |     0.71      0.34
| 5.51e+07    118351  |    -1.18    0.00   12345  |     0.48      0.35
| 5.51e+07    118395  |    -1.22    0.00   12345  |     0.82      0.47
| 5.51e+07    118439  |    -1.11    0.00   12345  |     0.41      0.38
| 5.51e+07    118481  |    -1.19    0.00   12345  |     0.46      0.32
| 5.51e+07    118524  |    -1.35    0.00   12345  |     0.00      0.32
| 5.52e+07    118566  |    -1.30    0.00   12345  |     0.00      0.42
| 5.52e+07    118609  |    -1.20    0.00   12345  |     0.00      0.41
| 5.52e+07    118651  |    -1.61    0.00   12345  |     0.00      0.41
| 5.52e+07    118694  |    -1.30    0.00   12345  |     0.24      0.34
| 5.52e+07    118737  |    -1.23    0.00   12345  |     0.24      0.36
| 5.53e+07    118779  |    -1.27    0.00   12345  |     0.30      0.38
| 5.53e+07    118821  |    -1.52    0.00   12345  |     0.07      0.35
| 5.53e+07    118863  |    -1.20    0.00   12345  |     0.14      0.38
| 5.53e+07    118905  |    -1.29    0.00   12345  |     0.18      0.36
| 5.53e+07    118948  |    -1.21    0.00   12345  |     0.11      0.32
| 5.54e+07    118990  |    -1.30    0.00   12345  |     0.12      0.37
| 5.54e+07    119033  |    -1.22    0.00   12345  |     0.09      0.36
| 5.54e+07    119076  |    -1.26    0.00   12345  |     0.00      0.40
| 5.54e+07    119118  |    -1.16    0.00   12345  |     0.00      0.41
| 5.54e+07    119161  |    -1.61    0.00   12345  |     0.00      0.41
| 5.55e+07    119204  |    -1.33    0.00   12345  |     0.00      0.40
| 5.55e+07    119246  |    -1.27    0.00   12345  |     0.00      0.41
| 5.55e+07    119288  |    -1.26    0.00   12345  |     0.00      0.40
| 5.55e+07    119330  |    -1.36    0.00   12345  |     0.00      0.40
| 5.55e+07    119373  |    -1.30    0.00   12345  |     0.00      0.40
| 5.56e+07    119415  |    -1.29    0.00   12345  |     0.56      0.38
| 5.56e+07    119457  |    -1.29    0.00   12345  |     1.28      0.39
| 5.56e+07    119500  |    -1.27    0.00   12345  |     0.30      0.36
| 5.56e+07    119542  |    -1.26    0.00   12345  |     0.26      0.35
| 5.56e+07    119584  |    -1.38    0.00   12345  |     3.96      0.35
| 5.57e+07    119626  |    -1.19    0.00   12345  |     0.80      0.39
| 5.57e+07    119670  |    -1.29    0.00   12345  |     1.10      0.50
| 5.57e+07    119712  |    -1.43    0.00   12345  |     0.41      0.40
| 5.57e+07    119754  |    -1.40    0.00   12345  |     0.50      0.33
| 5.57e+07    119797  |    -1.28    0.00   12345  |     0.51      0.36
| 5.58e+07    119839  |    -1.32    0.00   12345  |     0.26      0.40
| 5.58e+07    119881  |    -1.19    0.00   12345  |     0.47      0.41
| 5.58e+07    119923  |    -1.28    0.00   12345  |     0.52      0.38
| 5.58e+07    119965  |    -1.30    0.00   12345  |     0.75      0.34
| 5.58e+07    120007  |    -1.27    0.00   12345  |     0.57      0.35
| 5.59e+07    120049  |    -1.40    0.00   12345  |     0.54      0.36
| 5.59e+07    120091  |    -1.35    0.00   12345  |     0.78      0.48
| 5.59e+07    120133  |    -1.26    0.00   12345  |     0.81      0.38
| 5.59e+07    120176  |    -1.23    0.00   12345  |     0.50      0.33
| 5.59e+07    120218  |    -1.28    0.00   12345  |     0.00      0.36
| 5.60e+07    120259  |    -1.54    0.00   12345  |     0.00      0.42
| 5.60e+07    120301  |    -1.47    0.00   12345  |     0.00      0.41
| 5.60e+07    120343  |    -1.45    0.00   12345  |     0.00      0.41
| 5.60e+07    120387  |    -1.24    0.00   12345  |     0.22      0.34
| 5.60e+07    120430  |    -1.31    0.00   12345  |     0.25      0.35
| 5.61e+07    120473  |    -1.50    0.00   12345  |     0.18      0.38
| 5.61e+07    120515  |    -1.30    0.00   12345  |     0.16      0.43
| 5.61e+07    120558  |    -1.11    0.00   12345  |     0.15      0.37
| 5.61e+07    120601  |    -1.44    0.00   12345  |     0.17      0.37
| 5.61e+07    120644  |    -1.23    0.00   12345  |     0.11      0.33
| 5.62e+07    120687  |    -1.29    0.00   12345  |     0.25      0.43
| 5.62e+07    120730  |    -1.16    0.00   12345  |     0.16      0.37
| 5.62e+07    120773  |    -1.42    0.00   12345  |     0.00      0.40
| 5.62e+07    120818  |    -1.22    0.00   12345  |     0.00      0.41
| 5.62e+07    120860  |    -1.33    0.00   12345  |     0.00      0.40
| 5.63e+07    120902  |    -1.60    0.00   12345  |     0.00      0.41
| 5.63e+07    120944  |    -1.37    0.00   12345  |     0.00      0.41
| 5.63e+07    120986  |    -1.59    0.00   12345  |     0.00      0.41
| 5.63e+07    121028  |    -1.35    0.00   12345  |     0.00      0.39
| 5.63e+07    121071  |    -1.58    0.00   12345  |     0.00      0.40
| 5.64e+07    121113  |    -1.24    0.00   12345  |     0.58      0.38
| 5.64e+07    121156  |    -1.67    0.00   12345  |     0.85      0.36
| 5.64e+07    121198  |    -1.48    0.00   12345  |     0.40      0.38
| 5.64e+07    121241  |    -1.38    0.00   12345  |     0.41      0.35
| 5.64e+07    121283  |    -1.19    0.00   12345  |     3.04      0.34
| 5.65e+07    121325  |    -1.29    0.00   12345  |     0.71      0.40
| 5.65e+07    121368  |    -1.22    0.00   12345  |     1.08      0.49
| 5.65e+07    121411  |    -1.56    0.00   12345  |     0.67      0.39
| 5.65e+07    121453  |    -1.21    0.00   12345  |     0.45      0.31
| 5.65e+07    121496  |    -1.56    0.00   12345  |     0.71      0.37
| 5.66e+07    121538  |    -1.58    0.00   12345  |     0.33      0.39
| 5.66e+07    121582  |    -1.34    0.00   12345  |     0.70      0.41
| 5.66e+07    121624  |    -1.62    0.00   12345  |     0.61      0.38
| 5.66e+07    121666  |    -1.47    0.00   12345  |     0.92      0.40
| 5.66e+07    121709  |    -1.58    0.00   12345  |     0.60      0.35
| 5.67e+07    121751  |    -1.47    0.00   12345  |     0.65      0.36
| 5.67e+07    121794  |    -1.55    0.00   12345  |     0.42      0.38
| 5.67e+07    121837  |    -1.27    0.00   12345  |     0.89      0.36
| 5.67e+07    121879  |    -0.85    0.00   12345  |     0.58      0.33
| 5.67e+07    121922  |    -1.45    0.00   12345  |     0.00      0.32
| 5.68e+07    121964  |    -1.11    0.00   12345  |     0.00      0.41
| 5.68e+07    122006  |    -1.56    0.00   12345  |     0.00      0.40
| 5.68e+07    122048  |    -1.56    0.00   12345  |     0.00      0.41
| 5.68e+07    122090  |    -1.55    0.00   12345  |     0.28      0.33
| 5.68e+07    122132  |    -1.28    0.00   12345  |     0.21      0.34
| 5.69e+07    122175  |    -1.11    0.00   12345  |     0.13      0.36
| 5.69e+07    122217  |    -1.42    0.00   12345  |     0.17      0.42
| 5.69e+07    122260  |    -1.49    0.00   12345  |     0.16      0.37
| 5.69e+07    122302  |    -1.24    0.00   12345  |     0.17      0.35
| 5.69e+07    122343  |    -1.49    0.00   12345  |     0.11      0.33
| 5.70e+07    122386  |    -1.00    0.00   12345  |     0.62      0.48
| 5.70e+07    122428  |    -1.21    0.00   12345  |     0.17      0.37
| 5.70e+07    122470  |    -1.48    0.00   12345  |     0.00      0.32
| 5.70e+07    122513  |    -1.08    0.00   12345  |     0.00      0.40
| 5.70e+07    122555  |    -1.38    0.00   12345  |     0.00      0.41
| 5.71e+07    122598  |    -1.09    0.00   12345  |     0.00      0.40
| 5.71e+07    122640  |    -1.43    0.00   12345  |     0.00      0.41
| 5.71e+07    122684  |    -1.50    0.00   12345  |     0.00      0.41
| 5.71e+07    122727  |    -1.45    0.00   12345  |     0.00      0.42
| 5.71e+07    122770  |    -1.51    0.00   12345  |     0.00      0.41
| 5.72e+07    122814  |    -1.18    0.00   12345  |     0.83      0.40
| 5.72e+07    122856  |    -1.41    0.00   12345  |     1.57      0.43
| 5.72e+07    122898  |    -1.37    0.00   12345  |     0.39      0.38
| 5.72e+07    122941  |    -1.42    0.00   12345  |     0.39      0.35
| 5.72e+07    122983  |    -1.11    0.00   12345  |     2.37      0.33
| 5.73e+07    123026  |    -1.19    0.00   12345  |     0.59      0.39
| 5.73e+07    123068  |    -1.11    0.00   12345  |     0.30      0.36
| 5.73e+07    123110  |    -1.53    0.00   12345  |     0.61      0.38
| 5.73e+07    123152  |    -1.42    0.00   12345  |     0.45      0.34
| 5.73e+07    123195  |    -1.47    0.00   12345  |     0.71      0.40
| 5.74e+07    123238  |    -1.38    0.00   12345  |     0.38      0.40
| 5.74e+07    123281  |    -1.54    0.00   12345  |     0.44      0.37
| 5.74e+07    123323  |    -1.49    0.00   12345  |     0.71      0.38
| 5.74e+07    123365  |    -1.15    0.00   12345  |     0.96      0.38
| 5.74e+07    123408  |    -1.35    0.00   12345  |     0.74      0.40
| 5.75e+07    123450  |    -1.44    0.00   12345  |     0.81      0.36
| 5.75e+07    123493  |    -1.40    0.00   12345  |     0.50      0.38
| 5.75e+07    123535  |    -1.22    0.00   12345  |     0.84      0.40
| 5.75e+07    123577  |    -1.42    0.00   12345  |     0.43      0.33
| 5.75e+07    123620  |    -1.32    0.00   12345  |     0.00      0.33
| 5.76e+07    123662  |    -1.12    0.00   12345  |     0.00      0.42
| 5.76e+07    123705  |    -1.27    0.00   12345  |     0.00      0.42
| 5.76e+07    123747  |    -1.11    0.00   12345  |     0.00      0.42
| 5.76e+07    123790  |    -1.45    0.00   12345  |     0.24      0.33
| 5.76e+07    123833  |    -1.42    0.00   12345  |     0.18      0.33
| 5.77e+07    123877  |    -1.15    0.00   12345  |     0.16      0.36
| 5.77e+07    123920  |    -1.10    0.00   12345  |     0.12      0.38
| 5.77e+07    123962  |    -1.58    0.00   12345  |     0.16      0.36
| 5.77e+07    124006  |    -1.10    0.00   12345  |     0.09      0.33
| 5.77e+07    124048  |    -1.45    0.00   12345  |     0.10      0.33
| 5.78e+07    124090  |    -1.09    0.00   12345  |     0.59      0.47
| 5.78e+07    124133  |    -1.47    0.00   12345  |     0.09      0.39
| 5.78e+07    124176  |    -1.63    0.00   12345  |     0.00      0.29
| 5.78e+07    124217  |    -1.39    0.00   12345  |     0.00      0.42
| 5.78e+07    124262  |    -1.31    0.00   12345  |     0.00      0.42
| 5.79e+07    124305  |    -1.17    0.00   12345  |     0.00      0.42
| 5.79e+07    124347  |    -1.14    0.00   12345  |     0.00      0.42
| 5.79e+07    124389  |    -1.25    0.00   12345  |     0.00      0.42
| 5.79e+07    124432  |    -1.22    0.00   12345  |     0.00      0.40
| 5.79e+07    124474  |    -1.13    0.00   12345  |     0.00      0.42
| 5.80e+07    124516  |    -1.18    0.00   12345  |     1.03      0.40
| 5.80e+07    124557  |    -1.15    0.00   12345  |     1.49      0.45
| 5.80e+07    124599  |    -1.26    0.00   12345  |     0.29      0.36
| 5.80e+07    124643  |    -1.17    0.00   12345  |     0.32      0.34
| 5.80e+07    124685  |    -1.09    0.00   12345  |     2.10      0.37
| 5.81e+07    124727  |    -1.18    0.00   12345  |     1.04      0.40
| 5.81e+07    124769  |    -1.10    0.00   12345  |     0.29      0.35
| 5.81e+07    124811  |    -1.46    0.00   12345  |     0.66      0.36
| 5.81e+07    124853  |    -1.51    0.00   12345  |     0.49      0.36
| 5.81e+07    124896  |    -1.12    0.00   12345  |     0.52      0.39
| 5.82e+07    124939  |    -1.14    0.00   12345  |     0.43      0.39
| 5.82e+07    124982  |    -1.20    0.00   12345  |     0.37      0.38
| 5.82e+07    125025  |    -1.13    0.00   12345  |     0.74      0.35
| 5.82e+07    125067  |    -1.18    0.00   12345  |     1.45      0.34
| 5.82e+07    125109  |    -1.58    0.00   12345  |     0.72      0.37
| 5.83e+07    125151  |    -1.45    0.00   12345  |     0.61      0.36
| 5.83e+07    125195  |    -1.41    0.00   12345  |     0.64      0.35
| 5.83e+07    125238  |    -1.30    0.00   12345  |     0.96      0.42
| 5.83e+07    125280  |    -1.16    0.00   12345  |     0.54      0.38
| 5.83e+07    125323  |    -1.51    0.00   12345  |     0.00      0.42
| 5.84e+07    125366  |    -1.63    0.00   12345  |     0.00      0.42
| 5.84e+07    125409  |    -1.45    0.00   12345  |     0.00      0.43
| 5.84e+07    125451  |    -1.40    0.00   12345  |     0.00      0.42
| 5.84e+07    125494  |    -1.32    0.00   12345  |     0.19      0.34
| 5.84e+07    125538  |    -1.11    0.00   12345  |     0.21      0.34
| 5.85e+07    125581  |    -1.18    0.00   12345  |     0.37      0.43
| 5.85e+07    125623  |    -1.20    0.00   12345  |     0.08      0.37
| 5.85e+07    125665  |    -1.22    0.00   12345  |     0.28      0.41
| 5.85e+07    125707  |    -1.57    0.00   12345  |     0.08      0.36
| 5.85e+07    125749  |    -1.24    0.00   12345  |     0.09      0.35
| 5.86e+07    125791  |    -1.52    0.00   12345  |     0.20      0.35
| 5.86e+07    125834  |    -1.41    0.00   12345  |     0.09      0.37
| 5.86e+07    125876  |    -1.41    0.00   12345  |     0.00      0.42
| 5.86e+07    125918  |    -1.46    0.00   12345  |     0.00      0.41
| 5.86e+07    125960  |    -1.57    0.00   12345  |     0.00      0.42
| 5.87e+07    126003  |    -1.48    0.00   12345  |     0.00      0.41
| 5.87e+07    126046  |    -1.17    0.00   12345  |     0.00      0.41
| 5.87e+07    126088  |    -1.48    0.00   12345  |     0.00      0.42
| 5.87e+07    126131  |    -1.50    0.00   12345  |     0.00      0.42
| 5.87e+07    126173  |    -1.40    0.00   12345  |     0.00      0.43
| 5.88e+07    126215  |    -1.39    0.00   12345  |     0.66      0.39
| 5.88e+07    126257  |    -1.28    0.00   12345  |     0.66      0.39
| 5.88e+07    126300  |    -1.56    0.00   12345  |     0.34      0.39
| 5.88e+07    126343  |    -1.63    0.00   12345  |     0.32      0.34
| 5.88e+07    126386  |    -1.15    0.00   12345  |     1.51      0.39
| 5.89e+07    126429  |    -1.49    0.00   12345  |     1.49      0.38
| 5.89e+07    126473  |    -1.18    0.00   12345  |     0.19      0.35
| 5.89e+07    126516  |    -1.24    0.00   12345  |     0.88      0.42
| 5.89e+07    126560  |    -1.41    0.00   12345  |     0.44      0.38
| 5.89e+07    126603  |    -1.47    0.00   12345  |     0.30      0.37
| 5.90e+07    126645  |    -1.21    0.00   12345  |     0.51      0.43
| 5.90e+07    126688  |    -1.23    0.00   12345  |     0.25      0.35
| 5.90e+07    126730  |    -1.48    0.00   12345  |     0.60      0.37
| 5.90e+07    126773  |    -1.20    0.00   12345  |     1.83      0.33
| 5.90e+07    126816  |    -1.24    0.00   12345  |     0.68      0.37
| 5.91e+07    126859  |    -1.14    0.00   12345  |     0.43      0.39
| 5.91e+07    126902  |    -1.35    0.00   12345  |     0.59      0.37
| 5.91e+07    126945  |    -1.20    0.00   12345  |     0.86      0.41
| 5.91e+07    126987  |    -1.37    0.00   12345  |     0.71      0.37
| 5.91e+07    127032  |    -1.24    0.00   12345  |     0.00      0.44
| 5.92e+07    127074  |    -1.35    0.00   12345  |     0.00      0.41
| 5.92e+07    127116  |    -1.16    0.00   12345  |     0.00      0.41
| 5.92e+07    127160  |    -1.08    0.00   12345  |     0.00      0.42
| 5.92e+07    127202  |    -1.29    0.00   12345  |     0.18      0.35
| 5.92e+07    127244  |    -1.17    0.00   12345  |     0.35      0.37
| 5.93e+07    127286  |    -1.45    0.00   12345  |     0.41      0.43
| 5.93e+07    127329  |    -1.25    0.00   12345  |     0.08      0.36
| 5.93e+07    127372  |    -1.36    0.00   12345  |     0.16      0.42
| 5.93e+07    127414  |    -1.40    0.00   12345  |     0.11      0.35
| 5.93e+07    127456  |    -1.19    0.00   12345  |     0.08      0.35
| 5.94e+07    127498  |    -1.10    0.00   12345  |     0.11      0.35
| 5.94e+07    127541  |    -1.39    0.00   12345  |     0.15      0.38
| 5.94e+07    127584  |    -1.34    0.00   12345  |     0.00      0.42
| 5.94e+07    127628  |    -1.38    0.00   12345  |     0.00      0.42
| 5.94e+07    127670  |    -1.09    0.00   12345  |     0.00      0.41
| 5.95e+07    127712  |    -1.19    0.00   12345  |     0.00      0.42
| 5.95e+07    127755  |    -1.64    0.00   12345  |     0.00      0.42
| 5.95e+07    127797  |    -1.11    0.00   12345  |     0.00      0.40
| 5.95e+07    127840  |    -1.09    0.00   12345  |     0.00      0.42
| 5.95e+07    127884  |    -1.11    0.00   12345  |     2.89      0.52
| 5.96e+07    127929  |    -1.12    0.00   12345  |     0.64      0.42
| 5.96e+07    127972  |    -1.29    0.00   12345  |     0.64      0.39
| 5.96e+07    128016  |    -1.25    0.00   12345  |     0.51      0.37
| 5.96e+07    128059  |    -1.48    0.00   12345  |     0.42      0.37
| 5.96e+07    128103  |    -1.24    0.00   12345  |     1.28      0.37
| 5.97e+07    128146  |    -1.27    0.00   12345  |     1.01      0.37
| 5.97e+07    128190  |    -1.19    0.00   12345  |     0.21      0.39
| 5.97e+07    128233  |    -1.35    0.00   12345  |     0.80      0.42
| 5.97e+07    128275  |    -1.50    0.00   12345  |     0.58      0.37
| 5.97e+07    128317  |    -1.19    0.00   12345  |     0.21      0.36
| 5.98e+07    128359  |    -1.51    0.00   12345  |     0.43      0.42
| 5.98e+07    128401  |    -1.48    0.00   12345  |     0.31      0.34
| 5.98e+07    128444  |    -1.42    0.00   12345  |     1.35      0.48
| 5.98e+07    128486  |    -1.38    0.00   12345  |     1.11      0.36
| 5.98e+07    128528  |    -1.12    0.00   12345  |     0.66      0.37
| 5.99e+07    128571  |    -1.53    0.00   12345  |     0.52      0.39
| 5.99e+07    128613  |    -1.19    0.00   12345  |     0.66      0.43
| 5.99e+07    128656  |    -1.36    0.00   12345  |     0.56      0.40
| 5.99e+07    128698  |    -1.21    0.00   12345  |     0.73      0.36
| 5.99e+07    128740  |    -1.44    0.00   12345  |     0.00      0.44
| 6.00e+07    128782  |    -1.44    0.00   12345  |     0.00      0.42
| 6.00e+07    128824  |    -1.17    0.00   12345  |     0.00      0.42
| 6.00e+07    128867  |    -1.07    0.00   12345  |     0.00      0.41
| 6.00e+07    128911  |    -1.15    0.00   12345  |     0.16      0.36
| 6.00e+07    128953  |    -1.03    0.00   12345  |     0.25      0.39
| 6.01e+07    128996  |    -1.41    0.00   12345  |     0.16      0.42
| 6.01e+07    129038  |    -1.55    0.00   12345  |     0.06      0.37
| 6.01e+07    129080  |    -1.21    0.00   12345  |     0.10      0.40
| 6.01e+07    129122  |    -1.24    0.00   12345  |     0.12      0.37
| 6.01e+07    129165  |    -1.33    0.00   12345  |     0.10      0.35
| 6.02e+07    129207  |    -1.10    0.00   12345  |     0.11      0.37
| 6.02e+07    129249  |    -1.17    0.00   12345  |     0.19      0.38
| 6.02e+07    129292  |    -1.12    0.00   12345  |     0.00      0.41
| 6.02e+07    129335  |    -1.38    0.00   12345  |     0.00      0.42
| 6.02e+07    129378  |    -1.44    0.00   12345  |     0.00      0.42
| 6.03e+07    129422  |    -1.17    0.00   12345  |     0.00      0.42
| 6.03e+07    129466  |    -1.24    0.00   12345  |     0.00      0.42
| 6.03e+07    129510  |    -1.33    0.00   12345  |     0.00      0.41
| 6.03e+07    129554  |    -1.16    0.00   12345  |     0.00      0.43
| 6.03e+07    129596  |    -1.45    0.00   12345  |     2.96      0.52
| 6.04e+07    129639  |    -1.18    0.00   12345  |     0.59      0.44
| 6.04e+07    129682  |    -1.22    0.00   12345  |     0.50      0.38
| 6.04e+07    129724  |    -1.30    0.00   12345  |     0.59      0.40
| 6.04e+07    129768  |    -1.59    0.00   12345  |     0.58      0.41
| 6.04e+07    129811  |    -1.44    0.00   12345  |     1.20      0.36
| 6.05e+07    129854  |    -1.39    0.00   12345  |     0.58      0.35
