Alpaca successfully connected
Loaded preprocessed data with shape (23968830, 16)
Getting Numpy arrays from data!

| `step`: Number of samples, or total training steps, or running times of `env.step()`.
| `time`: Time spent from the start of training to this moment.
| `avgR`: Average value of cumulative rewards, which is the sum of rewards in an episode.
| `stdR`: Standard dev of cumulative rewards, which is the sum of rewards in an episode.
| `avgS`: Average of steps in an episode.
| `objC`: Objective of Critic network. Or call it loss function of critic network.
| `objA`: Objective of Actor network. It is the average Q value of the critic network.
|     step      time  |     avgR    stdR    avgS  |     objC      objA
| 4.10e+06      9380  |    -0.89    0.00   12345  |     0.35      0.19
| 4.12e+06      9425  |    -0.85    0.00   12345  |     0.27      0.20
| 4.14e+06      9471  |    -1.14    0.00   12345  |     0.16      0.20
| 4.16e+06      9516  |    -0.93    0.00   12345  |     0.12      0.20
| 4.18e+06      9561  |    -1.18    0.00   12345  |     0.48      0.30
| 4.20e+06      9606  |    -0.86    0.00   12345  |     0.14      0.18
| 4.22e+06      9651  |    -0.96    0.00   12345  |     0.17      0.22
| 4.24e+06      9697  |    -0.84    0.00   12345  |     0.25      0.21
| 4.26e+06      9743  |    -0.93    0.00   12345  |     0.00      0.24
| 4.28e+06      9789  |    -0.90    0.00   12345  |     0.00      0.21
| 4.30e+06      9834  |    -0.85    0.00   12345  |     0.00      0.23
| 4.32e+06      9880  |    -0.98    0.00   12345  |     0.00      0.23
| 4.34e+06      9926  |    -1.18    0.00   12345  |     0.00      0.22
| 4.36e+06      9972  |    -1.20    0.00   12345  |     0.00      0.22
| 4.38e+06     10018  |    -0.82    0.00   12345  |     0.00      0.23
| 4.40e+06     10064  |    -1.15    0.00   12345  |     0.00      0.23
| 4.42e+06     10110  |    -0.97    0.00   12345  |     0.45      0.17
| 4.44e+06     10156  |    -0.84    0.00   12345  |     0.49      0.24
| 4.46e+06     10201  |    -1.17    0.00   12345  |     0.60      0.22
| 4.48e+06     10246  |    -1.10    0.00   12345  |     0.40      0.22
| 4.50e+06     10292  |    -0.90    0.00   12345  |     0.74      0.22
| 4.52e+06     10336  |    -0.75    0.00   12345  |     0.56      0.20
| 4.54e+06     10382  |    -0.95    0.00   12345  |     0.58      0.23
| 4.56e+06     10428  |    -0.86    0.00   12345  |     0.47      0.21
| 4.58e+06     10475  |    -0.89    0.00   12345  |     0.45      0.19
| 4.60e+06     10520  |    -1.17    0.00   12345  |     0.71      0.19
| 4.62e+06     10566  |    -1.19    0.00   12345  |     0.99      0.24
| 4.64e+06     10611  |    -1.14    0.00   12345  |     0.34      0.21
| 4.66e+06     10656  |    -0.89    0.00   12345  |     0.94      0.24
| 4.68e+06     10701  |    -0.85    0.00   12345  |     1.07      0.20
| 4.70e+06     10747  |    -0.86    0.00   12345  |     1.36      0.18
| 4.72e+06     10792  |    -0.95    0.00   12345  |     1.18      0.19
| 4.74e+06     10837  |    -0.84    0.00   12345  |     0.50      0.20
| 4.76e+06     10883  |    -1.14    0.00   12345  |     0.59      0.23
